,E-mal,Keyword,Url
0,pomoc@lekarzebezkolejki.pl,przychodnie specjalistyczne łódź,https://lekarzebezkolejki.pl/placowki/lodz/lodzkie
1,szpital@kopernik.lodz.pl,przychodnie specjalistyczne łódź,https://placowki.mp.pl/unit/index?id=521943
2,sporna.rejestracja@csk.umed.pl,przychodnie specjalistyczne łódź,http://www.csk.umed.pl/kliniki-i-oddzialy/poradnie-specjalistyczne-sporna/
3,kontakt@zozmswlodz.pl,przychodnie specjalistyczne łódź,https://www.zozmswlodz.pl/o-szpitalu/poradnie-specjalistyczne/
4,ckd.poradnie.specjalistyczne@csk.umed.pl,przychodnie specjalistyczne łódź,https://skwam.lodz.pl/?page_id=111
5,kancelaria@nfz-lodz.pl,przychodnie specjalistyczne łódź,https://www.nfz-lodz.pl/dlapacjentow/aktualnosci/9268-nowe-poradnie-specjalistyczne-w-wojewodztwie-lodzkim
6,infolinia@swietarodzina.com.pl,przychodnie specjalistyczne łódź,https://www.swietarodzina.com.pl/
7,sekretariat@swietarodzina.com.pl,przychodnie specjalistyczne łódź,https://www.swietarodzina.com.pl/
8,impx@imp.lodz.pl,przychodnie specjalistyczne łódź,https://www.pkt.pl/szukaj/przychodnia-specjalistyczna/%C5%82%C3%B3d%C5%BA/8
9,cdtl@cdtl.pl,przychodnie specjalistyczne łódź,https://www.pkt.pl/szukaj/przychodnia-specjalistyczna/%C5%82%C3%B3d%C5%BA/8
10,amodrzejewska@renoma-med.pl,przychodnie specjalistyczne łódź,https://www.pkt.pl/szukaj/przychodnia-specjalistyczna/%C5%82%C3%B3d%C5%BA/8
11,rejestracja@klinikasalix.pl,przychodnie specjalistyczne łódź,https://www.pkt.pl/szukaj/przychodnia-specjalistyczna/%C5%82%C3%B3d%C5%BA/8
12,spwrit@op.pl,przychodnie specjalistyczne łódź,https://www.pkt.pl/szukaj/przychodnia-specjalistyczna/%C5%82%C3%B3d%C5%BA/8
13,salamon.m@interia.pl,przychodnie specjalistyczne łódź,https://www.pkt.pl/szukaj/przychodnia-specjalistyczna/%C5%82%C3%B3d%C5%BA/8
14,jacekplu@wp.pl,przychodnie specjalistyczne łódź,https://www.pkt.pl/szukaj/przychodnia-specjalistyczna/%C5%82%C3%B3d%C5%BA/8
